Sl. No.,Affected States/UTs,2019,,2020,,2021,,2022,,2023,,2024,,2025*,
,,C,D,C,D,C,D,C,D,C,D,C,D,C,D
1,Andhra Pradesh,5286,0,925,0,4760,0,6391,0,6453,0,5555,2,513,0
2,Arunachal Pradesh,123,0,1,0,7,0,114,0,130,0,20,0,0,0
3,Assam,196,0,33,0,103,0,1826,2,8208,7,2271,0,47,0
4,Bihar,6712,0,493,2,633,2,13972,32,20224,74,10157,16,70,0
5,Chattisgarh,722,0,57,0,1086,0,2679,10,2412,0,3523,2,25,0
6,Goa,992,0,376,0,649,0,443,1,512,3,567,3,23,0
7,Gujarat,18219,17,1564,2,10983,14,6682,7,7222,7,7891,6,326,0
8,Haryana,1207,0,1377,0,11835,13,8996,18,8081,11,6469,9,13,0
9,Himachal Pradesh,344,2,21,0,349,0,3326,1,1989,0,3359,0,6,0
10,J & K,439,0,53,0,1709,4,8269,18,6403,10,6876,1,4,0
11,Jharkhand,825,0,79,0,220,1,290,0,2578,4,1528,0,59,0
12,Karnataka,16986,13,3823,0,7393,7,9889,9,19300,11,32886,27,923,0
13,Kerala,4652,16,4399,5,3251,27,4432,29,17426,153,20674,128,1417,4
14,Lakshadweep,0,0,0,0,1,0,67,0,445,0,513,0,12,0
15,Madhya Pradesh,4189,2,806,0,15592,11,3318,2,6979,0,10224,6,122,0
16,Meghalaya,82,0,4,0,129,0,26,0,114,0,74,0,8,0
17,Maharashtra,14907,29,3356,10,12720,42,8578,27,19034,55,19385,40,1159,0
18,Manipur,359,0,37,0,203,0,503,4,2548,0,2463,5,50,0
19,Mizoram,42,0,67,0,83,0,1868,5,2060,2,744,1,98,0
20,Nagaland,8,0,1,0,24,0,154,0,4943,2,42,0,0,0
21,Odisha,3758,4,496,0,7548,0,7063,0,12845,1,9892,0,76,0
22,Punjab,10289,14,8435,22,23389,55,11030,41,13687,39,6260,13,53,0
23,Rajasthan,13706,17,2023,7,20749,96,13491,10,13924,14,12514,5,169,0
24,Sikkim,444,0,11,0,243,1,264,0,311,0,374,0,39,0
25,Tamil Nadu,8527,5,2410,0,6039,8,6430,8,9121,12,27378,13,5535,2
26,Tripura,114,0,24,0,349,0,56,0,1447,0,1198,0,81,0
27,Telangana,13331,7,2173,0,7135,0,8972,0,8016,1,10077,0,267,0
28,Uttar Pradesh,10557,26,3715,6,29750,29,19821,33,35402,36,15868,9,305,0
29,Uttrakhand,10622,8,76,1,738,2,2337,0,4320,17,494,0,0,0
30,West Bengal*,NR,NR,5166,0,8264,7,67271,30,30683,4,441,0,NR,NR
31,A& N Island,168,0,98,0,175,0,1014,3,846,0,59,0,93,0
32,Chandigarh,286,0,265,0,1596,3,910,1,454,0,349,0,0,0
33,Delhi,5077,0,1269,0,13089,23,10183,9,16866,19,10585,11,186,0
34,D&N Haveli,1491,2,248,0,547,0,685,0,1178,0,403,0,8,0
35,Daman & Diu,625,2,71,0,279,0,228,0,284,1,278,0,12,0
36,Puduchery,2030,2,633,1,1625,1,1673,3,2790,2,2128,0,344,0
,Total,157315,166,44585,56,193245,346,233251,303,289235,485,233519,297,12043,6